,OBJECTID,POSTALCODE,ST_NAME,MUN_NAME,SETT_NAME,SETT_TYPE,AREA
11064,11065,01000,DISTRITO FEDERAL,ÁLVARO OBREGÓN,SAN ANGEL,COLONIA,711515239.0
11065,11066,01010,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LOS ALPES,COLONIA,711515239.0
11066,11067,01020,DISTRITO FEDERAL,ÁLVARO OBREGÓN,GUADALUPE INN,COLONIA,711515239.0
11067,11068,01030,DISTRITO FEDERAL,ÁLVARO OBREGÓN,AXOTLA,COLONIA,711515239.0
11068,11069,01030,DISTRITO FEDERAL,ÁLVARO OBREGÓN,FLORIDA,COLONIA,711515239.0
11069,11070,01040,DISTRITO FEDERAL,ÁLVARO OBREGÓN,CAMPESTRE,COLONIA,711515239.0
11070,11071,01048,DISTRITO FEDERAL,ÁLVARO OBREGÓN,AGUILAS SECCION HORNOS,UNIDAD HABITACIONAL,711515239.0
11071,11072,01049,DISTRITO FEDERAL,ÁLVARO OBREGÓN,TLACOPAC,PUEBLO,711515239.0
11072,11073,01050,DISTRITO FEDERAL,ÁLVARO OBREGÓN,AGRICOLA,COLONIA,711515239.0
11073,11074,01050,DISTRITO FEDERAL,ÁLVARO OBREGÓN,GUADALUPE CHIMALISTAC,COLONIA,711515239.0
11074,11075,01060,DISTRITO FEDERAL,ÁLVARO OBREGÓN,ALTAVISTA,COLONIA,711515239.0
11075,11076,01060,DISTRITO FEDERAL,ÁLVARO OBREGÓN,SAN ANGEL INN,COLONIA,711515239.0
11076,11077,01070,DISTRITO FEDERAL,ÁLVARO OBREGÓN,CHIMALISTAC,COLONIA,711515239.0
11077,11078,01080,DISTRITO FEDERAL,ÁLVARO OBREGÓN,PROGRESO TIZAPAN,COLONIA,711515239.0
11078,11079,01080,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BATAN BARRIO VIEJO,COLONIA,711515239.0
11079,11080,01080,DISTRITO FEDERAL,ÁLVARO OBREGÓN,PROGRESO,COLONIA,711515239.0
11080,11081,01089,DISTRITO FEDERAL,ÁLVARO OBREGÓN,ERMITA TIZAPAN,COLONIA,711515239.0
11081,11082,01090,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LORETO Y CAMPAMENTO,PUEBLO,711515239.0
11082,11083,01090,DISTRITO FEDERAL,ÁLVARO OBREGÓN,RES ANTIGUA SAN JACINTO,PUEBLO,711515239.0
11083,11084,01090,DISTRITO FEDERAL,ÁLVARO OBREGÓN,TIZAPAN,PUEBLO,711515239.0
11084,11085,01090,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LA OTRA BANDA,PUEBLO,711515239.0
11085,11086,01090,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LORETO,PUEBLO,711515239.0
11086,11087,01100,DISTRITO FEDERAL,ÁLVARO OBREGÓN,REACOMODO LOMAS DE SANTO DOMINGO,COLONIA,711515239.0
11087,11088,01100,DISTRITO FEDERAL,ÁLVARO OBREGÓN,UNIDAD HAB LOMAS DE STO DOMINGO,COLONIA,711515239.0
11088,11089,01100,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LOMAS DE SANTO DOMINGO,COLONIA,711515239.0
11089,11090,01100,DISTRITO FEDERAL,ÁLVARO OBREGÓN,POLVORA,COLONIA,711515239.0
11090,11091,01109,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LA CONCHITA,COLONIA,711515239.0
11091,11092,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES SECCION CUCHILLA,COLONIA,711515239.0
11092,11093,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES SECCION LOMITA,COLONIA,711515239.0
11093,11094,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES SECCION ORIENTE,COLONIA,711515239.0
11094,11095,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES SECCION PABELLONES,COLONIA,711515239.0
11095,11096,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES SECCION RANCHERIA,COLONIA,711515239.0
11096,11097,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES SECCION RELLENO,COLONIA,711515239.0
11097,11098,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES SECCION TURBINA,COLONIA,711515239.0
11098,11099,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,EL CAPULIN,COLONIA,711515239.0
11099,11100,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LAS PALMAS,COLONIA,711515239.0
11100,11101,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,LIBERALES DE 1857,COLONIA,711515239.0
11101,11102,01110,DISTRITO FEDERAL,ÁLVARO OBREGÓN,BELEN DE LAS FLORES,COLONIA,711515239.0
