Type,Delegacion,Neighborhood,Rent price pesos,Rent price dollars,Maintenance Cost,Rooms,Surface (total),Surface (built),Sale price pesos,Sale price dollars,Bathrooms,Transaction Type,Location (Address),Half bathrooms,Parking lots,Building Age,Description
Casa,Cuajimalpa de Morelos,Cuajimalpa,10000,,,4,60,130,,,3,Rent,"Lerdo #0, Cuajimalpa, Cuajimalpa de Morelos",,2,,"Nocnok ID: MX18-EB8094. AmpliacasaenrentaenelcentrodeCuajimalpa.Constadesalacomedor,cocinaintegralconespacioparadesayunadoroantecomedor,muebleparaalacena;concuatrorecámaras;2y½baños,áreasverdescomunesydoscajonesdeestacionamiento,cisterna.Porsuubicación,tienecercaníaaCentroscomercialesyfácilaccesoaautopistaChamapayCarreteraMéxico-Toluca,seencuentraa15minutosdeSantaFe.Requisitos:depósitoengarantía,rentadelmescorrienteyfiadorconbienraízenCDMXópólizajurídicadearrendamiento.Teofrecemosasesoríahipotecariagratuita.Informesycitasalosteléfonos:Ver datosyVer datosCarpeDiem“Beneficiosrealesentiemporeal”Cod. 582ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.Ver másVer menos"
Casa,Miguel Hidalgo,Lomas de Chapultepec,,10000,,4,1,1,,,6,Rent,NA,1,6,NA,"Esta casa cuenta con una ubicación privilegiada, a un paso del periférico, de Polanco y de Reforma. Ideal para embajada dados sus amplísimos espacios y su gran jardín de alrededor de 500m Se tiene que arreglar pero la remodelación se haría al gusto y necesidades del cliente (obviamente dentro de cierto presupuesto) Cuenta con caseta de vigilancia, comedor con salida a terraza, biblioteca, cava, pantry, desayunador, cuarto de juegos, etc. Muy completa!!!!!!!!!AmenidadesBodega(s) (1)Estudio (SI)Salón de usos múltiples (SI)Cuarto de TV (SI)ServiciosGimnasio (SI)Cisterna (SI)Calentador de agua (SI)Servicios básicos (agua/luz) (SI)Gas (SI)Características generalesCuartos de servicio (SI)Centros Comerciales Cercanos (SI)Escuelas Cercanas (SI)Niveles construidos (2)Cocina integral (SI)M² de jardín (500)Forma del terreno (Regular)"
Casa,Miguel Hidalgo,Lomas de Chapultepec,,5300,,3,580,493,,,4,Rent,,,4,,"Renta de Hermosa casa en Lomas de Chapultepec, bien ubicada en esquina, cerca de reforma, palmas, centros comerciales, con Hall de entrada, sala, comedor, biblioteca, cuarto de TV, cocina, antecomedor, salón para fiestas y gimnasio con 2 ½ baños, patio y terraza, 2 bodegas. Jardín en frente, garaje para 4 autos, 2 de ellos techados. 3 recámaras, cada una con baño completo, lavandería y cuarto de servicio con baño completo. Terraza con jardinera preciosa. EasyBroker ID: EB-BG1865ServiciosGimnasio (SI)AmenidadesBodega(s) (1)Salón de usos múltiples (SI)Características generalesChimenea (SI)Cuartos de servicio (SI)"
Casa,Azcapotzalco,Clavería,35000,,,3,207,318,,,3,Rent,"Irapuato , Clavería, Azcapotzalco",1,3,NA,"se renta casa recién remodelada, cuenta con tres recamaras, tres y medio baños, sala de T.V, estudio, amplio recibidor, sala, comedor, antecomedor, terraza y patio con espacio para tres autos. Excelentes espacios para utilizarla como oficinas.AmenidadesEstudio Cuarto de TV ServiciosCisterna Calentador de agua Servicios básicos (agua/luz) Gas Características generalesCentros Comerciales Cercanos Escuelas Cercanas Niveles construidos (2)Cocina integral Estado de conservación (Excelente)"
Casa,Miguel Hidalgo,Lomas de Chapultepec,220000,,,3,773,646,,4000000,6,,"Paseo de las Palmas, Lomas de Chapultepec, Miguel Hidalgo",,10,NA,"Espectacular casa en venta o venta en la Colonia Lomas de Chapultepec, Ciudad de México Cuenta con amplio jardín y 10 lugares de estacionamiento, terraza trasera con fuente y gacebo. Sala, comedor, antecomedor, amplia cocina cerrada, hall de recepción, sala con terraza en piso intermedio con vista a la calle, tres recámaras con vestidor y baño completo privado en cada uno. Cuenta con elevador, caseta de vigilancia, área de lavado, , y dos cuartos amplios con baño completos en área de servicio. Cuenta con aviso de funcionamiento de banjo impacto para oficinas. Precio en venta: US $4,000,000.00 Precio en renta: MXN $ 220,000.00Ver másVer menosAmenidadesBodega(s) (1)Estudio Cuarto de TV ServiciosAire acondicionado Seguridad privada Cisterna Servicios básicos (agua/luz) Gas Características generalesCuartos de servicio Centros Comerciales Cercanos Escuelas Cercanas Niveles construidos (2)Cocina integral Estado de conservación (Excelente)"
Casa,Alvaro Obregón,Paseo de las Lomas,60000,,,3,630,480,,,3,Rent,"Guillermo Marconi, Paseo de las Lomas, Alvaro Obregón",1,2,NA,"Casa en calle cerrada muy tranquila con vigilancia las 24 hr, una excelente ubicación entre Vasco de Quiroga y Carr. Mexico Toluca, vista a toda la cuidad, con mucha luz natural, amplio Jardín con baño, 2 estacionamientos, cuenta con cuarto de servicio, bodega, terraza, se entrega con cocina equipada, lavadora y secadora.ServiciosSeguridad privada AmenidadesBodega(s) (1)Características generalesCuartos de servicio"
Casa,Miguel Hidalgo,Lomas de Chapultepec,85000,,,4,600,460,,,3,Rent,"sierra gorda, Lomas de Chapultepec, Miguel Hidalgo",1,4,NA,"Descripción: Increíble casa en renta en la parte baja de Lomas de Chapultepec en la calle de Sierra Gorda. Está situado paralela a Avenida Palmas muy cerca de tiendas y restaurantes. La casa comprende de 460 m2 de construcción y 600 m2 de terreno distribuidos en: sala amplia , comedor, cocina, 4 recamaras de muy buen tamaño, 3 baños completos más 1 de visitas, estudio o biblioteca con chimenea, 2 terrazas, Jardín, 2 cuartos de servicio con baño, y 4 lugares de estacionamiento.AmenidadesEstudio ServiciosCalentador de agua Servicios básicos (agua/luz) Características generalesCuartos de servicio Centros Comerciales Cercanos Escuelas Cercanas Cocina integral"
Casa,Alvaro Obregón,Chimalistac,55000,,,3,250,130,,,3,Rent,"FRESNO 1, Chimalistac, Alvaro Obregón",1,2,NA,"HERMOSA CASA TIPO COLONIAL MEXICANO EN LA ZONA MAS EXCLUSIVA,PRIVADA Y SEGURA DEL SUR DE LA CIUDAD, SUPER COMUNICADA A SOLO UNA CUADRA DE INSURGENTES SUR.- LA CASA SE ENCUENTRA AMUEBLADA EN TRES NIVELES CON PORTON ELECTRICO.- CUENTA CON SALA, COMEDOR, COCINA CON ANTECOMEDOR INTEGRADO, DOS O TRES RECÁMARAS PATIO INTERNO Y ROOF GARDEN JUNTO A AREA DE LAVADO TOTALMENTE EQUIPADO CON LAVADORA Y SECADORA.- NUEVO PRECIO REBAJADO A PARTIR DE FEBRERO 2018 EXCELENTE OPORTINIDAD PARA EXTRANJEROS, EJECUTIVOS O EXPATRIADOSServiciosLínea telefónica Cisterna Calentador de agua Servicios básicos (agua/luz) Gas Características generalesAmueblado Chimenea Cuartos de servicio Centros Comerciales Cercanos Escuelas Cercanas Frente a parque Niveles construidos (3)Cocina integral Estado de conservación (Excelente)Forma del terreno (Regular)"
Casa,Miguel Hidalgo,Lomas de Reforma,120000,,,3,300,400,,,3,Rent,NA,,3,0,"- Hermosa casa en conjunto de solo 3 casas- Cuenta con roof garden con increíble vista y dos pequeños jardines - Estudio, sala, comedor, amplia cocina y antecomedor. EasyBroker ID: EB-BC3750ServiciosCisterna (SI)Características generalesChimenea (SI)Cuartos de servicio (SI)Cocina integral (SI)"
Casa,Alvaro Obregón,Paseo de las Lomas,25000,,,3,400,350,,,2,Rent,,,2,NA,"CASA MODERNA CON UNA BONITA  TERRAZA  , SALA Y COMEDOR MUY AMPLIA QUE PUEDE SER CON MUEBLES O SIN MUEBLES  2 RECAMARAS"
Casa,Miguel Hidalgo,Lomas de Chapultepec,,7500,,4,480,480,,,5,Rent,"Blvd de los Virreyes, Lomas de Chapultepec, Miguel Hidalgo",1,4,NA,"Santa Fe Real Estate renta espectacular casa desarrollada en un terreno de 1800m2, ubicada en magnifica cerrada con CCTV 24 horas, amplísimos espacios e increíble jardín, CUATRO RECÁMARAS, ALBERCA, alberca, asador, cava-bar, sala de TV, estudio, muy iluminada, espacio hasta 4 automóviles. Previa cita.ServiciosSeguridad privada ExterioresAsador Características generalesAlberca Cuartos de servicio Jacuzzi Mascotas Niveles construidos (2)Cocina integral M² de jardín (1300)"
Casa,Cuauhtémoc,Roma,65000,,,4,146,340,,,2,Rent,"Colonia Roma Norte, Roma, Cuauhtémoc",2,2,NA,"PRECIOSA CASA DE PRINCIPIOS DEL SIGLO XX, EXCELENTE CONSERVACIÓN, CUENTA CON 340 M2 DE CONSTRUCCIÓN Y 146 M2 DE TERRENOEN LA PLANTA BAJA CUENTA CON: RECIBIDOR, 2 CAJONES DE ESTACIONAMIENTO 1 PRIVADO, ÁREA COMÚN, PATIO.EL SEGUNDO NIVEL CUENTA CON: SALA, COMEDOR, BALCÓN AL PATIO TRASERO, COCINA, DESAYUNADOR, 1 BAÑO Y 1 BODEGA.TERCER NIVEL: 4 HABITACIONES CON CLOSET, 2 BAÑOS COMPLETOS.TODOS LOS SERVICIOS CERCA, BANCOS. TRANSPORTE, ESCUELAS, RESTAURANTES Y CENTROS CULTURALES.RENTA DE $65,OOOVer másVer menosServiciosCisterna (SI)Características generalesEscuelas Cercanas (SI)Frente a parque (SI)Niveles construidos (3)"
Casa,Cuajimalpa de Morelos,Bosques de las Lomas,,6500,,3,372,398,,,3,Rent,"Paseo de Laureles, Bosques de las Lomas, Cuajimalpa de Morelos",2,3,NA,"Preciosa casa en condominio horizontal re-modelada en su totalidad hace 2 años. En el conjunto hay 21 casas todas diferentes. Cuenta con 3 recamaras, cada una con baño y vestidor, family room, dos terrazas, cuarto de juegos y jardín. Casa muy iluminada. Áreas Comunes: jardín con juegos infantiles, estacionamiento de visitas, cancha de tenis.ServiciosSeguridad privada Área de Juegos Infantiles Características generalesCuartos de servicio Centros Comerciales Cercanos Escuelas Cercanas Niveles construidos (3)Estado de conservación (Excelente)"
Casa,Miguel Hidalgo,Lomas de Chapultepec,,5500,,4,700,700,,,5,Rent,,,6,NA,"Excelente casa en Lomas de Chapultepec, cuenta con sala, comedor, ante comedor, cocina equipada con desayunador, estudio. 4 recamaras con baño y vestidor; principal con sauna y jacuzzi. Hermoso jardín, cuenta con caseta de seguridad privada. Excelente para embajadas. EasyBroker ID: EB-AY2032Características generalesCuartos de servicio (SI)Jacuzzi (SI)Cocina integral (SI)"
Casa,Alvaro Obregón,Alcantarilla,36000,,,3,780,420,20000000,,3,,NA,1,6,NA,"Linda casa estilo colonial, 3 niveles, antecomedor, sala tv, estudio, cada recámara con baño, precioso jardín, bodega, servicios integrados, departamento independiente.ServiciosCisterna Servicios básicos (agua/luz) AmenidadesBodega(s) (1)Estudio Cuarto de TV Características generalesCuartos de servicio Escuelas Cercanas Fumadores Mascotas Niveles construidos (3)Cocina integral M² de jardín (120)"
