Manilk Residencial,19.3984241,-99.10606759999996,"Granjas México, Iztacalco, Distrito Federal (CDMX)",5,1,1361526,11
Cyta Condesa,19.4125628,-99.172435,"Colonia Condesa, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",90,1,7338103,11
Epic Coyoacán,19.3819391,-99.1684285,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",86,1,4534044,11
Bosques de Tepepan,19.271404,-99.1515625,"Fuentes de Tepepan, Tlalpan, Distrito Federal (CDMX), Distrito Federal (CDMX)",105,1,2768877,11
HIR Residencial Botani K,19.3656509,-99.24289920000001,"Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",65,1,2000000,11
Be Grand Alto Pedregal,19.3035709,-99.1777859,"Pedregal de Carrasco, Coyoacán, Distrito Federal (CDMX), Distrito Federal (CDMX)",61,1,4600000,11
ETRE Polanco,19.4424548,-99.18542609999996,"Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",53,1,3765000,11
Wind Condos Nápoles,19.3909017,-99.1749104,"Nápoles, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",118,1,6597697,11
Wind Universidad,19.3399072,-99.18218819999998,"Coyoacán, Distrito Federal (CDMX), Distrito Federal (CDMX)",109,1,4717968,11
Malmö Residencial,19.4068916,-99.16238899999996,"Roma Norte, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",90,1,4264600,11
Goldsmith 222,19.4351765,-99.2004541,"Polanco III Sección, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",150,1,17179929,11
Be Grand Reforma,19.432884,-99.1558088,"Tabacalera, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",93,1,7918000,11
Residencial Vía Narvarte,19.3670983,-99.1624422,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",60,1,2403156,11
Club Residencial Bosques,19.3938021,-99.26497970000004,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",314,1,15500000,11
La Cité Residencial CDMX,19.350237600000003,-99.30152269999996,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",46,1,2730000,11
Desarrollo Kansas 65,19.3880032,-99.17665840000001,"Nápoles, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",99,1,5527847,11
Wind Condos del Valle,19.3749979,-99.17698730000001,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",114,1,6921962,11
Punta Museo,19.324144,-99.139292,"Coyoacán, Distrito Federal (CDMX), Distrito Federal (CDMX)",48,1,1920000,11
Heriberto Frías 443,19.3945266,-99.1597795,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",1,1,4813400,11
Popocatépetl 226 B,19.3623792,-99.15789080000002,"Santa Cruz Atoyac, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",135,1,5121053,11
Ícono Vallejo,19.4679901,-99.1437442,"Nueva Vallejo, Gustavo A. Madero, Distrito Federal (CDMX)",58,1,1970000,11
Blum Santa Fe,19.36932,-99.26649129999998,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",5,1,2880000,11
San Simón 160,19.3754847,-99.14749589999997,"San Simon Ticumac, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",77,1,2719000,11
Be Grand Contadero,19.3584283,-99.2900095,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",59,1,3364346,11
Residencial Agwa Bosques,19.3504275,-99.30069679999997,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",105,1,6500000,11
Henry Ford 153,19.4690006,-99.1154868,"Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal (CDMX)",53,1,1516000,11
Flores Magón 460,19.4551643,-99.1603078,"Santa Maria La Ribera, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",50,1,1535000,11
Oriente 233,19.3990885,-99.0778575,"Colonia Agrícola Oriental, Iztacalco, Distrito Federal (CDMX)",49,1,1152000,11
Be Grand Coapa,19.2998824,-99.11190820000002,"Tlalpan, Distrito Federal (CDMX), Distrito Federal (CDMX)",87,1,3685341,11
Atlamaya Art Residences,19.3392699,-99.2034666,"Atlamaya, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",74,1,4162937,11
High Park Sur,19.3029168,-99.164282,"Pedregal de Carrasco, Coyoacán, Distrito Federal (CDMX), Distrito Federal (CDMX)",74,1,3034000,11
Inclusiv Preventa Torre B,19.465549300000006,-99.15689090000001,"Del Gas, Azcapotzalco, Distrito Federal (CDMX), Distrito Federal (CDMX)",63,1,2600000,11
Residencial Doctor Martínez,19.4172407,-99.14885429999998,"Colonia Doctores, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",60,1,1680000,11
Jade Entrega Inmediata,19.4199878,-99.1430411,"Obrera, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",49,1,1724052,11
Torre Cadu Delta,19.4092413,-99.14932850000002,"Doctores, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",65,1,2080785,11
Desierto 4373,19.346272,-99.21144859999998,"Tetelpan, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",154,1,7279000,11
Be Grand Alto Polanco Preventa departamentos Torre III,19.4399978,-99.18324,"Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",6,1,4719101,11
Residencial Zaragoza 176,19.4468229,-99.1486686,"Buenavista, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",51,1,1430000,11
Park D Luxe,19.365215600000006,-99.2994873,"Colonia Cuajimalpa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",59,1,2117502,11
Wind Diagonal San Antonio,19.394284,-99.15760799999998,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",97,1,4578740,11
