colonia,del,num
15 DE AGOSTO,GUSTAVO A MADERO,1
ACACIAS,BENITO JUÁREZ,3
ACTIPAN,BENITO JUÁREZ,2
ACUEDUCTO DE GUADALUPE,GUSTAVO A MADERO,1
ACULCO,IZTAPALAPA,1
AGRICOLA ORIENTAL,IZTACALCO,8
AGUA CALIENTE,IZTACALCO,1
ALAMOS,BENITO JUÁREZ,2
ALDANA,AZCAPOTZALCO,1
ALFONSO XIII,ÁLVARO OBREGÓN,1
ALVARO OBREGON,VENUSTIANO CARRANZA,2
AMERICA,MIGUEL HIDALGO,1
AMPL LAS GOLONDRINAS,ÁLVARO OBREGÓN,1
AMPL NAPOLES,BENITO JUÁREZ,1
AMPL PRESIDENTES,ÁLVARO OBREGÓN,1
AMPL SAN FRANCISCO CULHUACAN,COYOACÁN,1
AMPL SELENE,TLÁHUAC,2
ANAHUAC,MIGUEL HIDALGO,1
ANGEL ZIMBRON,AZCAPOTZALCO,1
ARAGON,GUSTAVO A MADERO,2
ARENAL DE GUADALUPE,TLALPAN,1
ATLAMPA,CUAUHTÉMOC,3
ATZACOALCO,GUSTAVO A MADERO,2
AVANTE,COYOACÁN,1
AVIACION CIVIL,VENUSTIANO CARRANZA,2
BARRIO DEL NIÑO JESUS,COYOACÁN,1
BARRIO LA ASUNCION,TLÁHUAC,1
BARRIO LA CONCEPCION,COYOACÁN,1
BARRIO LOS REYES,TLÁHUAC,1
BARRIO NIÑO JESUS,TLALPAN,1
BARRIO NORTE,ÁLVARO OBREGÓN,1
BARRIO SAN ANDRES,AZCAPOTZALCO,1
BARRIO SAN BARTOLO MIXQUIC,TLÁHUAC,1
BARRIO SAN PEDRO,IZTAPALAPA,1
BARRIO TULA CULHUACAN,IZTAPALAPA,1
BELLAVISTA,ÁLVARO OBREGÓN,1
BENITO JUAREZ,IZTACALCO,1
BONDOJITO,GUSTAVO A MADERO,1
BOSQUE DE SAN JUAN DE ARAGON,GUSTAVO A MADERO,1
BOSQUES DE CHAPULTEPEC,MIGUEL HIDALGO,1
BUENAVISTA,CUAUHTÉMOC,1
CAMPESTRE ARAGON,GUSTAVO A MADERO,2
CAMPESTRE CHURUBUSCO,COYOACÁN,8
CAPULTITLAN,GUSTAVO A MADERO,3
CARACOL,VENUSTIANO CARRANZA,1
CAROLA,ÁLVARO OBREGÓN,2
CENTRO,CUAUHTÉMOC,4
CENTRO,VENUSTIANO CARRANZA,1
CERRO DE LA ESTRELLA,IZTAPALAPA,1
CERRO PRIETO,GUSTAVO A MADERO,1
CHALMA DE GUADALUPE,GUSTAVO A MADERO,1
CHAPULTEPEC MORALES,MIGUEL HIDALGO,7
